country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cameroon,2384150000.0,2430670000.0,2453930000.0,2570230000.0,2663270000.0,2651640000.0,2674900000.0,2698160000.0,2802830000.0,2686530000.0,2756310000.0,2872610000.0,3093580000.0,3116840000.0,3337810000.0,3442480000.0,3477370000.0,3186620000.0,3523890000.0,3919310000.0,3768120000,3896050000.0,3849530000.0,4233320000.0,4012350000.0,4256580000.0,0.0
Canada,303543000000.0,310521000000.0,316336000000.0,307032000000.0,291913000000.0,296565000000.0,308195000000.0,316336000000.0,323314000000.0,330292000000.0,336107000000.0,355878000000.0,351226000000.0,331455000000.0,345411000000.0,358204000000.0,333781000000.0,350063000000.0,337270000000.0,340759000000.0,364019000000,352389000000.0,367508000000.0,374486000000.0,368671000000.0,351226000000.0,376812000000.0
Chile,11071760000.0,11862600000.0,12793000000.0,12560400000.0,10548410000.0,8931840000.0,13141900000.0,16747200000.0,17910200000.0,16979800000.0,18375400000.0,16863500000.0,18956900000.0,15933100000.0,13607100000.0,18491700000.0,21050300000.0,22213300000.0,21631800000.0,21980700000.0,26516400000,29191300000.0,23143700000.0,24190400000.0,25353400000.0,21748100000.0,21050300000.0
China,92342200000.0,94551900000.0,100018000000.0,109205700000.0,118626000000.0,126767000000.0,125604000000.0,132582000000.0,152353000000.0,167472000000.0,190732000000.0,188406000000.0,196547000000.0,208177000000.0,203525000000.0,222133000000.0,277957000000.0,288424000000.0,283772000000.0,353552000000.0,396583000000,436125000000.0,484971000000.0,584989000000.0,615227000000.0,722223000000.0,0.0
Colombia,18375400000.0,21282900000.0,23143700000.0,24423000000.0,26632700000.0,27446800000.0,27679400000.0,22329600000.0,27912000000.0,32098800000.0,32215100000.0,35471500000.0,31517300000.0,30819500000.0,33727000000.0,32098800000.0,31749900000.0,33959600000.0,36169300000.0,40123500000.0,39774600000,42798400000.0,44426600000.0,46403700000.0,41053900000.0,40356100000.0,0.0
"Congo, Dem. Rep.",5024160000.0,5256760000.0,5245130000.0,5245130000.0,6919850000.0,5628920000.0,5256760000.0,6059230000.0,5524250000.0,5291650000.0,6163900000.0,6094120000.0,5024160000.0,4710150000.0,5303280000.0,6001080000.0,5977820000.0,6105750000.0,6163900000.0,7082670000.0,7385050000,7524610000.0,7815360000.0,7478090000.0,7792100000.0,7850250000.0,0.0
"Congo, Rep.",290750000.0,267490000.0,277957000.0,289587000.0,396583000.0,489623000.0,480319000.0,424495000.0,359367000.0,322151000.0,352389000.0,455896000.0,451244000.0,341922000.0,95017100.0,295402000.0,333781000.0,396583000.0,341922000.0,330292000.0,354715000,372160000.0,334944000.0,374486000.0,330292000.0,430310000.0,0.0
Costa Rica,2756310000.0,2895870000.0,3000540000.0,3047060000.0,3326180000.0,3384330000.0,3651820000.0,3582040000.0,3930940000.0,3942570000.0,3558780000.0,3814640000.0,4803190000.0,4291470000.0,5140460000.0,5687070000.0,5454470000.0,5966190000.0,6024340000.0,6663990000.0,6570950000,6605840000.0,6768660000.0,7385050000.0,7222230000.0,7268750000.0,0.0
Cote d'Ivoire,1360710000.0,1197890000.0,1052515000.0,1244410000.0,1593310000.0,1325820000.0,1256040000.0,1047863000.0,1099035000.0,1174630000.0,1779390000.0,1779390000.0,1884060000.0,1372340000.0,1756130000.0,1767760000.0,1802650000.0,1732870000.0,1837540000.0,1744500000.0,1442120000,1511900000.0,1802650000.0,1895690000.0,2128290000.0,1616570000.0,0.0
Croatia,0.0,0.0,0.0,0.0,0.0,3803010000.0,5768480000.0,4337990000.0,4349620000.0,4931120000.0,5268390000.0,7233860000.0,5291650000.0,5454470000.0,6594210000.0,5873150000.0,6547690000.0,5361430000.0,4872970000.0,6954740000.0,6338350000,6001080000.0,4233320000.0,5221870000.0,6733770000.0,8327080000.0,0.0
Cuba,53963200.0,58964100.0,43961400.0,73036400.0,81991500.0,91062900.0,105018900.0,81061100.0,81991500.0,48962300.0,73966800.0,95017100.0,130256000.0,96994200.0,103041800.0,88969500.0,75013500.0,105949300.0,127930000.0,88039100.0,68035500,93970400.0,120952000.0,138397000.0,151190000.0,96994200.0,0.0
Czech Republic,1674720000.0,1872430000.0,2465560000.0,2105030000.0,1639830000.0,1160674000.0,1088568000.0,1407230000.0,1372340000.0,1465380000.0,2000360000.0,1965470000.0,1697980000.0,1395600000.0,1686350000.0,1756130000.0,2058510000.0,2488820000.0,1383970000.0,2023620000.0,2384150000,2546970000.0,2093400000.0,2023620000.0,2430670000.0,2791200000.0,2139920000.0
Denmark,30005400.0,28958700.0,28958700.0,33029200.0,23027400.0,28028300.0,25004500.0,28028300.0,28028300.0,33029200.0,30005400.0,18956900.0,18956900.0,26981600.0,31052100.0,30005400.0,28028300.0,31982500.0,21050300.0,26981600.0,23027400,23027400.0,28028300.0,26051200.0,18956900.0,21050300.0,16979800.0
Dominican Republic,1144392000.0,1383970000.0,1535160000.0,1651460000.0,474504000.0,348900000.0,507068000.0,532654000.0,1129273000.0,532654000.0,603597000.0,862946000.0,665236000.0,732690000.0,1099035000.0,761765000.0,696637000.0,871087000.0,1197890000.0,1604940000.0,1907320000,1756130000.0,1697980000.0,1383970000.0,1697980000.0,1791020000.0,0.0
Ecuador,3279660000.0,4012350000.0,4570590000.0,4826450000.0,4954380000.0,4989270000.0,5070680000.0,4977640000.0,5815000000.0,6570950000.0,5163720000.0,6349980000.0,6536060000.0,6501170000.0,7175710000.0,7606020000.0,7071040000.0,7524610000.0,7187340000.0,7408310000.0,6884960000,7129190000.0,9036510000.0,11292730000.0,9222590000.0,8641090000.0,0.0
Egypt,8664350000.0,9280740000.0,8664350000.0,9001620000.0,9978540000.0,9932020000.0,9897130000.0,9699420000.0,10490260000.0,10967090000.0,11409030000.0,11560220000.0,11978900000.0,12211500000.0,14653800000.0,13723400000.0,15119000000.0,12909300000.0,13025600000.0,12676700000.0,12676700000,12909300000.0,15467900000.0,14653800000.0,12909300000.0,13025600000.0,0.0
El Salvador,1174630000.0,1232780000.0,1133925000.0,1302560000.0,1430490000.0,1651460000.0,1267670000.0,1418860000.0,1523530000.0,1453750000.0,1477010000.0,1884060000.0,1430490000.0,1570050000.0,1767760000.0,1174630000.0,1163000000.0,1138577000.0,1465380000.0,1383970000.0,1674720000,1965470000.0,1744500000.0,2035250000.0,1500270000.0,2081770000.0,0.0
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000180.0,1000180.0,3000540.0,2000360.0,2000360.0,3000540.0,4000720.0,4000720.0,5000900.0,7001260.0,6001080.0,13025600.0,21980700.0,21980700,13956000.0,21050300.0,28028300.0,31982500.0,26981600.0,30005400.0
Ethiopia,674540000.0,717571000.0,721060000.0,711756000.0,721060000.0,1061819000.0,1081590000.0,1151370000.0,1267670000.0,1349080000.0,1430490000.0,1511900000.0,1570050000.0,1581680000.0,1604940000.0,1651460000.0,1988730000.0,2023620000.0,2279480000.0,2523710000.0,2837720000,3256400000.0,3384330000.0,3291290000.0,3523890000.0,4931120000.0,0.0
Finland,12327800000.0,12444100000.0,13839700000.0,13374500000.0,13025600000.0,10862420000.0,13258200000.0,15119000000.0,13490800000.0,11746300000.0,12909300000.0,11862600000.0,12211500000.0,15002700000.0,12793000000.0,14653800000.0,13258200000.0,10781010000.0,9594750000.0,15119000000.0,13839700000,11490440000.0,14188600000.0,17096100000.0,12676700000.0,12909300000.0,12444100000.0
France,61871600000.0,62453100000.0,70477800000.0,76525400000.0,46636300000.0,53846900000.0,57568500000.0,68965900000.0,64895400000.0,78851400000.0,72920100000.0,66058400000.0,63848700000.0,62104200000.0,72571200000.0,67105100000.0,74664600000.0,60592300000.0,59196700000.0,59894500000.0,51753500000,56172900000.0,57917400000.0,63616100000.0,57219600000.0,61987900000.0,45124400000.0
Gabon,667562000.0,693148000.0,697800000.0,709430000.0,674540000.0,704778000.0,707104000.0,711756000.0,710593000.0,745483000.0,790840000.0,769906000.0,809448000.0,811774000.0,831545000.0,803633000.0,878065000.0,923422000.0,900162000.0,893184000.0,811774000,945519000.0,801307000.0,894347000.0,886206000.0,809448000.0,0.0
Georgia,0.0,0.0,0.0,0.0,0.0,7582760000.0,7419940000.0,6501170000.0,6605840000.0,6768660000.0,5198610000.0,6001080000.0,6047600000.0,6373240000.0,6443020000.0,5861520000.0,5547510000.0,6768660000.0,6524430000.0,6047600000.0,6233680000,5314910000.0,6815180000.0,7164080000.0,7408310000.0,9362150000.0,0.0
